ticker,theme,entry_date,exit_date,bars_held,opt_ret,exit_reason,cost,bto_close,stc_close,z_bto,z_stc,sh20,sh50,broken_level,pct_above_broken,pattern
PINS,consumer_apps,2023-11-14,2024-01-09,37,-0.8184,disaster,368.98,32.17,37.79,2.002,1.794,31.62,31.62,31.62,0.0175,AB
CLSK,crypto,2023-12-01,2024-01-17,30,-0.345,sigma_target,154.16,7.64,7.36,1.312,-0.067,5.75,5.75,5.75,0.3287,A
CCJ,critical_power,2024-01-12,2024-01-22,5,0.3979,sigma_target,310.12,49.92,46.18,1.369,-0.098,46.95,46.95,46.95,0.0633,A
LMT,space_defense,2024-01-18,2024-01-24,4,2.1805,sigma_target,390.09,459.57,431.65,1.501,-0.307,464.1,464.1,,,B
AMAT,ai_compute,2024-01-24,2024-02-09,12,-0.5397,disaster,765.42,174.14,185.84,1.477,2.116,165.01,165.01,165.01,0.0553,A
DDOG,ai_software,2024-01-22,2024-02-21,21,0.3035,sigma_target,459.03,132.98,125.84,1.076,-0.061,124.89,124.89,124.89,0.0648,A
ABNB,consumer_apps,2024-02-22,2024-03-06,9,-0.3853,disaster,968.92,155.26,163.87,1.111,1.51,158.27,158.27,,,B
AMZN,tech_mega,2024-02-09,2024-03-14,23,-0.4809,disaster,679.07,174.45,178.75,1.118,0.708,172.5,172.5,172.5,0.0113,AB
DASH,consumer_apps,2024-03-12,2024-03-20,6,-0.3362,disaster,905.42,130.45,137.91,1.461,1.797,134.43,134.43,,,B
ANET,ai_compute,2024-03-20,2024-04-10,14,0.01,sigma_target,386.11,74.14,72.06,1.121,-0.308,72.82,73.17,73.17,0.0134,AB
AMZN,tech_mega,2024-04-11,2024-04-18,5,1.3173,sigma_target,224.53,189.05,179.22,1.08,-0.09,186.27,186.27,186.27,0.0149,AB
LYFT,consumer_apps,2024-03-20,2024-04-19,21,0.7434,sigma_target,152.8,19.2,16.15,2.12,-0.282,19.42,19.42,,,B
NOC,space_defense,2024-04-25,2024-05-03,6,0.7065,sigma_target,720.24,488.06,469.09,1.364,-0.032,480.75,480.75,480.75,0.0152,AB
BIIB,biotech,2024-05-03,2024-05-14,7,-0.4486,disaster,712.69,217.51,226.88,1.009,1.899,218.86,230.22,,,B
LMT,space_defense,2024-04-22,2024-05-31,28,-0.7909,disaster,391.59,461.33,470.34,1.734,1.435,459.3,459.3,459.3,0.0044,B
AAPL,user_trades,2024-05-14,2024-06-05,15,-0.5785,disaster,518.69,187.43,195.87,1.085,1.859,187.0,187.0,187.0,0.0023,B
GOOG,user_trades,2024-06-04,2024-07-24,34,-0.549,sigma_target,173.08,175.13,174.37,1.443,-0.427,179.95,179.95,,,B
NOC,space_defense,2024-07-26,2024-08-01,4,-0.3522,disaster,1178.65,480.3,493.36,1.209,1.752,445.86,480.73,445.86,0.0772,A
AAPL,user_trades,2024-06-05,2024-08-09,45,-1.0,time_stop,166.26,195.87,216.24,1.859,0.922,193.0,193.0,193.0,0.0149,AB
PYPL,fintech,2024-08-15,2024-09-19,24,-0.7775,disaster,438.44,67.94,77.57,1.294,2.603,67.3,68.3,67.3,0.0095,B
ASTS,space_defense,2024-08-15,2024-10-18,45,-0.3437,time_stop,632.79,31.36,28.14,2.569,0.428,23.04,23.04,23.04,0.3611,A
BWXT,critical_power,2024-10-02,2024-12-05,45,-0.9969,time_stop,268.09,113.28,127.97,1.165,0.775,108.25,108.25,108.25,0.0465,A
PYPL,fintech,2024-10-18,2024-12-23,45,-0.9652,time_stop,226.17,80.94,86.9,1.811,0.731,82.0,82.0,,,B
AFRM,fintech,2024-12-06,2025-02-07,41,-0.6121,disaster,1153.96,71.88,75.22,2.491,1.288,72.1,72.1,,,B
ABNB,consumer_apps,2025-02-07,2025-02-14,5,-0.9217,disaster,425.14,134.98,161.42,1.098,3.331,138.1,141.75,,,B
LCID,ev_mobility,2025-02-18,2025-02-24,4,0.7908,sigma_target,390.48,34.8,27.8,1.271,-0.159,32.3,36.4,32.3,0.0774,A
ACHR,ev_mobility,2024-12-24,2025-03-04,45,0.1131,time_stop,217.92,10.8,7.98,3.495,0.25,10.58,10.58,10.58,0.0208,AB
MP,user_trades,2025-03-05,2025-04-04,22,0.1846,sigma_target,266.88,25.66,23.06,1.439,-0.042,26.0,26.0,,,B
QBTS,quantum,2025-03-14,2025-04-04,15,0.7654,sigma_target,204.81,10.15,6.34,1.404,-0.001,8.22,11.41,8.22,0.2351,A
UBER,consumer_apps,2025-04-24,2025-05-06,8,-0.4152,disaster,754.88,78.1,85.83,1.013,2.025,77.58,82.1,77.58,0.0067,B
NFLX,tech_mega,2025-04-28,2025-05-15,13,-0.4055,disaster,790.4,111.04,117.8,1.015,1.237,106.5,106.5,106.5,0.0426,A
BIIB,biotech,2025-05-22,2025-06-10,12,-0.6081,disaster,506.01,126.3,135.49,1.791,3.305,125.77,157.09,125.77,0.0042,B
BWXT,critical_power,2025-06-11,2025-06-27,11,-0.434,disaster,730.52,135.8,143.19,1.563,1.745,130.44,130.44,130.44,0.0411,A
LYFT,consumer_apps,2025-05-09,2025-07-16,45,-0.2676,time_stop,247.56,16.65,14.93,2.068,0.113,13.21,14.02,14.02,0.1872,A
CCJ,critical_power,2025-06-30,2025-08-12,30,-0.5951,disaster,509.25,74.23,78.43,2.21,1.234,72.79,72.79,72.79,0.0198,AB
ASTS,space_defense,2025-07-16,2025-09-08,37,0.5706,sigma_target,646.69,52.63,40.77,2.208,-0.146,54.05,54.05,,,B
LRCX,ai_compute,2025-09-08,2025-09-12,4,-0.5822,disaster,561.01,105.07,116.96,1.169,2.065,108.02,108.02,,,B
MU,ai_compute,2025-09-12,2025-09-18,4,-0.3922,disaster,1063.77,157.23,168.89,2.507,2.689,132.26,132.26,132.26,0.1888,A
AMAT,ai_compute,2025-09-18,2025-09-22,2,-0.4328,disaster,759.7,189.76,200.52,1.548,2.042,191.14,201.11,,,B
CCJ,critical_power,2025-08-12,2025-10-15,45,-0.9992,time_stop,235.78,78.43,93.46,1.234,1.114,80.32,80.32,,,B
AAPL,user_trades,2025-09-22,2025-10-20,20,-0.4714,disaster,757.11,256.08,262.24,2.771,2.082,241.32,241.32,241.32,0.0612,A
LMT,space_defense,2025-10-20,2025-11-10,15,4.8236,sigma_target,488.27,505.9,452.1,1.917,-0.222,516.0,516.0,,,B
AAPL,user_trades,2025-11-10,2025-12-02,15,-0.8184,disaster,388.1,269.43,286.19,1.695,1.739,277.32,277.32,,,B
WULF,crypto,2025-10-28,2025-12-17,35,0.6463,sigma_target,234.29,15.94,11.57,1.757,-0.185,16.19,16.19,,,B
ABNB,consumer_apps,2025-12-15,2026-01-13,19,-0.6558,disaster,480.52,131.81,140.07,1.186,1.657,125.81,130.05,130.05,0.0135,A
NVO,biotech,2025-12-23,2026-02-04,28,0.2662,sigma_target,299.2,51.61,47.19,1.061,-0.159,50.75,60.9,50.75,0.0169,AB
BIIB,biotech,2026-02-04,2026-02-06,2,-0.5028,disaster,885.34,185.45,201.18,1.046,1.913,190.2,190.2,,,B
BIIB,biotech,2026-02-11,2026-02-23,7,-0.2449,disaster,1257.44,191.2,196.34,1.166,1.153,190.2,190.2,190.2,0.0053,B
BNTX,biotech,2026-01-21,2026-03-03,28,0.7855,sigma_target,767.3,118.0,100.76,2.345,-0.673,109.28,113.39,113.39,0.0407,A
ANET,ai_compute,2026-04-22,2026-05-06,10,0.8273,sigma_target,1568.17,177.73,147.06,1.032,-0.532,161.01,161.01,161.01,0.1038,A
